Node ID,Von Mises Stress,Stress X,Stress Y,Displacement X,Displacement Y,Shear
17581,81157591.6448,59277916.4995,24394418.6483,0.000216558754444,-3.69502715766e-05,36164651.0079
17582,45779360.9770,29287230.3327,-11381906.3505,0.000190906301141,-1.68487820774e-05,16073951.2444
17583,57667143.3973,62405952.7715,11104915.2215,0.000265051692724,-5.02334497869e-05,479638.424702
17584,57520729.4877,62064076.6961,10661839.0765,0.000267231076956,-5.03682494164e-05,1255267.61157
17585,70565877.8721,67824024.8362,-5085333.18837,0.000221612662077,7.58626591414e-06,-1700627.01901
17586,70883014.2510,68835230.6911,-3882306.97314,0.000223503753543,8.36064945906e-06,-1125599.31761
17587,70388542.0394,64623788.1978,-7979231.63573,0.000302940428257,5.63815003261e-07,8144456.94288
17588,18015313.3437,3004977.44481,-16320495.2876,0.000188275262713,-2.62229656801e-06,-200282.108784
17589,121818461.536,121732548.141,12443091.4084,0.000280318945646,-4.43712770939e-05,-21454005.0189
17590,53489551.2156,53444347.2544,110349.444548,0.000399522066116,-4.27255481482e-05,-1890256.84595
17591,6581059.96969,3254453.48024,-3474641.66085,0.000191653028131,8.29000549857e-07,-1764245.68892
17592,60619941.5964,52560516.3574,494576.861461,0.000209886476398,3.5457406193e-06,-17681629.3399
17593,63035187.5246,51641774.1776,-11726011.3557,0.000317329138517,-6.47540111095e-06,13705359.6973
17594,56108342.8676,48176559.7661,-8050634.58284,0.000329157471657,-9.10705793649e-06,11172893.2858
17595,57422549.4657,49104415.5757,-8674989.77979,0.000327219694853,-8.63869674504e-06,11326514.7209
17596,12455015.8432,607698.622936,-11568132.4800,0.00033247217536,-2.7794374153e-05,2153020.72962
17597,75885744.1162,53710325.8769,24275329.1130,0.00030971121788,-3.80342416465e-05,-34585118.6117
17598,25340413.8248,-901571.519052,-24443178.0497,0.000334633022547,-6.38264650479e-06,-4686578.76650
17599,26778161.7299,-951522.218063,-25902387.8098,0.000335012674332,-6.7162849009e-06,-4826232.29027
17600,52030408.3901,51705083.5292,-642991.205057,0.000168080478907,3.01181543618e-05,171641.902998
17601,51923808.9628,51636328.0614,-562524.502476,0.000172872751951,3.12400721014e-05,368975.142638
17602,4010203.10122,1359026.40224,-3140599.66803,0.000192940056324,-2.74089965969e-05,185519.099236
17603,53622265.8280,39170085.5891,-10437764.7241,0.000320220947266,-6.07523648068e-06,16565594.0374
17604,54622699.6173,39988986.3332,-10848373.2541,0.000320382624865,-6.4595490694e-06,16663509.3689
17605,52799885.0642,37771396.9549,-10850759.5857,0.00032133731246,-6.68266881257e-06,16668954.2135
17606,72164789.5148,69265996.9330,-1644213.69632,0.000298084944487,4.04407968745e-06,9889168.73932
17607,70969034.4220,76998143.0054,14690141.2146,0.000274168938398,-4.7323897481e-05,2781076.86724
17608,52041374.6249,51971933.0470,-125336.427552,0.000331518352032,2.65949629247e-05,-480680.964887
17609,51829439.5433,51753473.1456,-130679.883329,0.000325718790293,2.75715254247e-05,-602385.722101
17610,143524464.354,141346035.004,6790264.64621,0.000246030673385,1.48871643469e-05,-22614446.3221
17611,58805457.6274,55332876.2054,-5887569.62617,0.000326117187738,-4.00397257181e-07,3460010.60804
17612,58135490.0146,54777842.2038,-5640433.78830,0.000328869193792,-6.88883475959e-07,3574815.49184
17613,26438832.6839,5444730.93464,-20670500.9597,0.000337613672018,-2.03251391649e-05,-6571449.68283
17614,26390564.2532,4748380.45949,-21816189.9703,0.000337505251169,-2.06384081393e-05,-5608833.79550
17615,26158658.8995,4108366.19139,-22102496.1472,0.000337994873524,-2.02541202307e-05,-5418218.61267
17616,49715402.2981,50033749.8983,666046.870251,0.000240402445197,3.70417758822e-05,612726.385395
17617,50734869.7419,45338035.9014,-5022061.62612,0.000182350575924,-1.70983746648e-05,9408825.55644
17618,49146626.7460,44288026.4918,-4254496.81282,0.000180184617639,-1.65254212916e-05,9081806.34181
17619,46464364.3928,46252220.1538,596182.068189,0.000149022892118,-1.49369463325e-05,3953420.48009
17620,24142938.0458,13904707.2274,9457873.44660,0.000324496626854,-3.2184176147e-05,-11994417.6674
17621,29843101.7113,-2019559.80062,-30737453.6196,0.000340938687325,-1.43771618605e-05,1128002.45980
17622,51314485.5835,51227583.5673,-40604.1019567,0.000298549890518,3.00758909434e-05,-1508797.95778
17623,51439709.8763,51302037.5570,-157688.567016,0.000303368031979,2.93677002192e-05,-1417754.58483
17624,49470805.7152,30677060.0364,19805621.5105,0.000317543417215,-3.5251121968e-05,-23955473.9907
17625,57034391.0590,55152701.5595,-3575551.67732,0.000186364501715,1.50243053213e-05,-609745.792690
17626,57467759.7469,35770596.1863,23011613.5279,0.000312828511,5.39309205487e-06,27788562.6157
17627,96217261.7457,90129694.1121,15426455.2752,0.000294796586037,-4.10367697477e-05,-27609212.6528
17628,98253673.7245,90199394.9890,16606677.3551,0.000295435547829,-4.10407185555e-05,-30221317.3185
17629,151438858.352,152855262.756,3555098.01706,0.000259549230337,-4.44923341274e-05,5766951.42190
17630,60112182.8163,57241284.0525,-5290124.17793,0.000196862995625,1.01300543174e-05,-1427236.07024
17631,65234880.6973,61208771.3877,-7226309.45841,0.000209368690848,6.71063363552e-06,-2201733.61897
17632,48032585.6316,46659295.0821,-1095978.70708,0.000362401723862,-2.61052511632e-05,-5089227.23929
17633,49378129.1306,47718911.1710,-1628369.38103,0.000360389590263,-2.68542263657e-05,-5188113.09338
